Hardware,SO,Tipo De Proceso,Hilos,Tiempo Demorado
AMD FX-8370 8 Core 16GB ram,Windows 10.0.17134,Single,1,2.000352621078491
Pentium 2 16mb ram,Windows 10.0.17134,Single,1,2.0007035732269287
Pentium 2 16mb,Windows 10.0.17134,Single,1,2.000074625015259
Pentium 2 500gb,Windows 10.0.17134,Single,1,2.001535415649414
1213,Windows 10.0.17134,Single,1,0.0009396076202392578
534534,Windows 10.0.17134,Single,1,0.0
2135,Windows 10.0.17134,Threads,4,0.003999233245849609
2135,Windows 10.0.17134,Single,1,0.0
2135,Windows 10.0.17134,Threads,8,145.43142247200012
2535,Windows 10.0.17134,Threads,4,4.017529487609863
2535,Windows 10.0.17134,Threads,4,0.0
2535,Windows 10.0.17134,Threads,4,0.0
2535,Windows 10.0.17134,Threads,4,0.010043621063232422
5325,Windows 10.0.17134,Single,1,0.0
5325,Windows 10.0.17134,Threads,4,35.46483063697815
2222,Windows 10.0.17134,Threads,4,18.588573455810547
255,Windows 10.0.17134,Threads,4,24.357184886932373
125,Windows 10.0.17134,Threads,2,0.0299985408782959
222,Windows 10.0.17134,Threads,2,0.029050588607788086
